date;trav;;;;;
08/03/2005;0.794816273;;;;;
08/04/2005;-0.11947286;;;;;
08/05/2005;-0.422849481;;;;;
08/08/2005;0.087707592;;;;;
08/09/2005;0.379603977;;;;;
08/10/2005;1.194585546;;;;;
08/11/2005;-0.328104562;;;;;
08/12/2005;-0.98056719;;;;;
8/15/2005;0.616432932;;;;;
8/16/2005;0.837095927;;;;;
8/17/2005;-0.578316285;;;;;
8/18/2005;0.677291347;;;;;
8/19/2005;-1.068694771;;;;;
8/22/2005;-0.504210866;;;;;
8/23/2005;1.255229881;;;;;
8/24/2005;-0.905526571;;;;;
8/25/2005;-0.102061667;;;;;
8/26/2005;1.317938025;;;;;
8/29/2005;-0.514680957;;;;;
8/30/2005;0.504043357;;;;;
8/31/2005;0.395301786;;;;;
09/01/2005;0.834928565;;;;;
09/02/2005;-0.155333615;;;;;
09/05/2005;0.71426855;;;;;
09/06/2005;0.409663589;;;;;
09/08/2005;0.704358287;;;;;
09/09/2005;-0.05803844;;;;;
09/12/2005;1.097799984;;;;;
9/13/2005;-0.48432791;;;;;
9/14/2005;-0.487953273;;;;;
9/15/2005;0.422548723;;;;;
9/16/2005;0.787613034;;;;;
9/19/2005;1.120729401;;;;;
9/20/2005;0.614564043;;;;;
9/21/2005;-0.041377244;;;;;
9/22/2005;1.993145085;;;;;
9/23/2005;-0.3209273;;;;;
9/26/2005;1.306540743;;;;;
9/27/2005;-0.29491396;;;;;
9/28/2005;-0.547897302;;;;;
9/29/2005;0.939323922;;;;;
9/30/2005;-0.225183703;;;;;
10/03/2005;0.82830437;;;;;
10/04/2005;0.5980695;;;;;
10/05/2005;-1.309047646;;;;;
10/06/2005;-2.401467319;;;;;
10/07/2005;-1.376519524;;;;;
10/10/2005;0.906127188;;;;;
10/11/2005;0.344246107;;;;;
10/13/2005;0.403847147;;;;;
10/14/2005;-0.939663369;;;;;
10/17/2005;-0.132787316;;;;;
10/18/2005;0.613906372;;;;;
10/19/2005;-1.584909002;;;;;
10/20/2005;0.234679112;;;;;
10/21/2005;-1.071238462;;;;;
10/24/2005;0.810292334;;;;;
10/25/2005;0.594643523;;;;;
10/26/2005;-0.305837962;;;;;
10/27/2005;0.224388098;;;;;
10/28/2005;-0.630152963;;;;;
10/31/2005;0.195567674;;;;;
11/01/2005;0.988152795;;;;;
11/03/2005;0.711054463;;;;;
11/04/2005;0.196330945;;;;;
11/07/2005;-0.226156728;;;;;
11/08/2005;0.073664317;;;;;
11/09/2005;0.02379596;;;;;
11/10/2005;-0.417491496;;;;;
11/11/2005;0.085195226;;;;;
11/14/2005;-0.335784764;;;;;
11/16/2005;-0.490308724;;;;;
11/17/2005;0.460192063;;;;;
11/18/2005;1.099735039;;;;;
11/21/2005;0.025488072;;;;;
11/22/2005;0.014661944;;;;;
11/23/2005;0.743021922;;;;;
11/24/2005;0.892475685;;;;;
11/25/2005;0.003872341;;;;;
11/28/2005;-0.051969312;;;;;
11/29/2005;-1.261406287;;;;;
11/30/2005;0.609302602;;;;;
12/01/2005;0.563397082;;;;;
12/02/2005;1.52466918;;;;;
12/05/2005;0.405234295;;;;;
12/06/2005;-0.260658587;;;;;
12/07/2005;1.096225347;;;;;
12/08/2005;-0.939723835;;;;;
12/09/2005;-0.551085062;;;;;
12/12/2005;0.907185774;;;;;
12/13/2005;0.099062135;;;;;
12/14/2005;0.963924646;;;;;
12/15/2005;0.437777577;;;;;
12/16/2005;-0.963381661;;;;;
12/19/2005;0.214673103;;;;;
12/20/2005;-0.66383699;;;;;
12/21/2005;0.146811672;;;;;
12/22/2005;1.123002916;;;;;
12/23/2005;-0.009580894;;;;;
12/26/2005;-0.464189262;;;;;
12/27/2005;-0.087700619;;;;;
12/28/2005;0.20471849;;;;;
12/29/2005;-0.688903217;;;;;
01/02/2006;0.953110487;;;;;
01/03/2006;0.151012871;;;;;
01/04/2006;3.162730112;;;;;
01/05/2006;0.885460777;;;;;
